STOP_ID,Latitude,STOP_NAME,Longitude,TICKETZONE,ROUTEUSSP,Area of Interest
18095,-37.816341,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),144.984819,1,"75,48",Tram Stop
18097,-37.81654,13-Simpson St/Wellington Pde (East Melbourne),144.986983,1,"75,48",Tram Stop
18098,-37.817388,14-Punt Rd/Wellington Pde (Melbourne City),144.989675,1,"75,48",Tram Stop
18099,-37.817533,14-Punt Rd/Bridge Rd (Richmond),144.990217,1,"75,48",Tram Stop
18100,-37.816603,13-Simpson St/Wellington Pde (East Melbourne),144.98697,1,"75,48",Tram Stop
18102,-37.816246,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),144.983992,1,"75,48",Tram Stop
18108,-37.819587,7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City),144.97913,1,70,Tram Stop
18116,-37.822384,7C-MCG Gates 4-7/John Cain Arena (Melbourne City),144.98353,1,70,Tram Stop
18118,-37.824135,7D-Olympic Boulevard (Melbourne City),144.986857,1,70,Tram Stop
18155,-37.823827,7D-Olympic Boulevard (Melbourne City),144.986751,1,70,Tram Stop
18161,-37.822137,7C-MCG Gates 4-7/John Cain Arena (Melbourne City),144.982798,1,70,Tram Stop
18172,-37.819349,7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City),144.978421,1,70,Tram Stop
22903,-37.818167,7A-William Barak Bridge/Melbourne Park (Melbourne City),144.976204,1,70,Tram Stop
22904,-37.818323,7A-William Barak Bridge/Melbourne Park (Melbourne City),144.975825,1,70,Tram Stop
19278,-37.824677,8-Richmond Station/Swan St (Richmond),144.989057,1,70,Tram Stop
19466,-37.824532,8-Richmond Station/Swan St (Cremorne),144.988436,1,70,Tram Stop
18184,-37.825688,125-Clarendon St/Whiteman St (Southbank),144.956684,1,"12,96,109",Tram Stop
18225,-37.828431,19-Miles St/Sturt St (Southbank),144.965755,1,1,Tram Stop
18226,-37.825779,18-Grant St/Sturt St (Southbank),144.966634,1,1,Tram Stop
18230,-37.825924,18-Grant St/Sturt St (Southbank),144.966664,1,1,Tram Stop
18231,-37.828184,19-Miles St/Sturt St (Southbank),144.966057,1,1,Tram Stop
18233,-37.82626,116-City Rd/Kings Way (Southbank),144.960577,1,58,Tram Stop
19721,-37.827691,125A-Southbank Tram Depot/Light Rail (South Melbourne),144.953709,1,"12,109",Tram Stop
4125,-37.827223,126-City Rd/Clarendon St (South Melbourne),144.957869,1,12,Tram Stop
22612,-37.8263,116-City Rd/Kings Way (Southbank),144.960803,1,58,Tram Stop
19304,-37.826076,125-Port Junction/79 Whiteman St (Southbank),144.956208,1,"12,96,109",Tram Stop
19369,-37.827453,125A-Southbank Tram Depot/Light Rail (South Melbourne),144.953988,1,"12,109",Tram Stop
4324,-37.82806,126-City Rd/Clarendon St (South Melbourne),144.958346,1,12,Tram Stop
18789,-37.797113,112-Lygon St/Elgin St (Carlton),144.967159,1,"6,1",Tram Stop
18790,-37.794127,113-Lytton St/Lygon St (Carlton),144.968025,1,"6,1",Tram Stop
17878,-37.805758,11-Melbourne Museum/Nicholson St (Fitzroy),144.973601,1,"96,86",Tram Stop
17880,-37.809676,10-Albert St/Nicholson St (Fitzroy),144.972949,1,"86,96,35",Tram Stop
17882,-37.811544,9-Spring St/Bourke St (Melbourne City),144.972579,1,"96,86",Tram Stop
17891,-37.811523,9-Spring St/Bourke St (Melbourne City),144.97241,1,"96,86",Tram Stop
17892,-37.809423,10-Albert St/Nicholson St (East Melbourne),144.972899,1,"86,96,35",Tram Stop
17894,-37.805676,11-Melbourne Museum/Nicholson St (Fitzroy),144.973546,1,"96,86",Tram Stop
17895,-37.80828,12-St Vincents Plaza/Victoria Pde (East Melbourne),144.976133,1,"11,12,30,109",Tram Stop
17896,-37.80939,11-Albert St/Gisborne St (East Melbourne),144.975728,1,"11,12,109",Tram Stop
17897,-37.812379,10-Parliament Railway Station/Macarthur St (East Melbourne),144.974488,1,"11,12,109",Tram Stop
17898,-37.813557,8-Spring St/Collins St (Melbourne City),144.973285,1,"11,12,48,109",Tram Stop
17914,-37.813416,8-Spring St/Collins St (Melbourne City),144.973482,1,"11,12,48,109",Tram Stop
17915,-37.81217,10-Parliament Railway Station/Macarthur St (East Melbourne),144.974368,1,"11,12,109",Tram Stop
18006,-37.809695,11-Albert St/Gisborne St (East Melbourne),144.975606,1,"11,12,109",Tram Stop
18009,-37.808019,10-Nicholson St/Victoria Pde (East Melbourne),144.973562,1,30,Tram Stop
18010,-37.807614,9-La Trobe St/Victoria St (Melbourne City),144.970972,1,"35,30",Tram Stop
18030,-37.80955,6-Swanston St/La Trobe St (Melbourne City),144.964081,1,"35,30",Tram Stop
18046,-37.809647,6-Swanston St/La Trobe St (Melbourne City),144.963465,1,"35,30",Tram Stop
18047,-37.808909,7-Russell St/La Trobe St (Melbourne City),144.966098,1,"35,30",Tram Stop
18048,-37.808185,8-Exhibition St/La Trobe St (Melbourne City),144.968537,1,"35,30",Tram Stop
18049,-37.807656,9-Victoria St/La Trobe St (Melbourne City),144.970266,1,"35,30",Tram Stop
18050,-37.807836,10-Nicholson St/Victoria Pde (Carlton),144.97284,1,"35,30",Tram Stop
18051,-37.808231,12-St Vincents Plaza/Victoria Pde (Fitzroy),144.976452,1,"11,12,30,109",Tram Stop
18092,-37.815319,8-Spring St/Flinders St (Melbourne City),144.974612,1,"75,35",Tram Stop
18093,-37.815453,9-Lansdowne St/Wellington Pde (East Melbourne),144.977164,1,"75,48",Tram Stop
18094,-37.81575,10-Jolimont Rd/Wellington Pde (East Melbourne),144.979791,1,"75,48",Tram Stop
18103,-37.815769,10-Jolimont Rd/Wellington Pde (East Melbourne),144.979325,1,"75,48",Tram Stop
18104,-37.815471,9-Lansdowne St/Wellington Pde (Melbourne City),144.976664,1,"75,48",Tram Stop
