ogc_fid,Longitude,x_coordinate_address,x_coordinate_zip,property_id,street_name,x_coordinate_city,census_year,Latitude,parking_type,block_id,clue_small_area,parking_spaces,base_property_id,x_coordinate_state,FID,Area of Interest
92463,144.959018,,,101050,216 Berkeley Street,,2017,-37.80041615,Private,240,Carlton,5,101050,,com_clue_offstreet_car_parking_2017.92463,Off Street Parking
91851,144.9446758,,,557299,111 Lothian Street,,2017,-37.8005999,Residential,335,North Melbourne,1,557299,,com_clue_offstreet_car_parking_2017.91851,Off Street Parking
91852,144.9459046,,,109738,431 Victoria Street,,2017,-37.80508185,Residential,405,West Melbourne (Residential),2,109738,,com_clue_offstreet_car_parking_2017.91852,Off Street Parking
91853,144.9558049,,,107301,171 Park Drive,,2017,-37.79379731,Residential,923,Parkville,2,107301,,com_clue_offstreet_car_parking_2017.91853,Off Street Parking
91857,144.9544611,,,535392,3 Walsh Street,,2017,-37.80809688,Residential,436,West Melbourne (Residential),1,535392,,com_clue_offstreet_car_parking_2017.91857,Off Street Parking
91858,144.9666278,,,106369,41-45 MacKenzie Street,,2017,-37.80790661,Private,97,Melbourne (CBD),22,106369,,com_clue_offstreet_car_parking_2017.91858,Off Street Parking
91863,144.9597768,,,108054,40-56 Queens Bridge Street,,2017,-37.8238538,Private,807,Southbank,200,108054,,com_clue_offstreet_car_parking_2017.91863,Off Street Parking
91864,144.9892349,,,109595,14 Vale Street South,,2017,-37.81916832,Residential,657,East Melbourne,2,109595,,com_clue_offstreet_car_parking_2017.91864,Off Street Parking
91865,144.9569145,,,106745,21 Morrah Street,,2017,-37.79597654,Residential,916,Parkville,1,106745,,com_clue_offstreet_car_parking_2017.91865,Off Street Parking
91868,144.9608162,,,104101,58-64 Franklin Street,,2017,-37.80741949,Residential,115,Melbourne (CBD),109,104101,,com_clue_offstreet_car_parking_2017.91868,Off Street Parking
91869,144.9722943,,,107162,75-81 Palmerston Street,,2017,-37.79684863,Residential,224,Carlton,10,107162,,com_clue_offstreet_car_parking_2017.91869,Off Street Parking
91870,144.9850115,,,104344,132 Gipps Street,,2017,-37.81259705,Residential,615,East Melbourne,1,104344,,com_clue_offstreet_car_parking_2017.91870,Off Street Parking
91871,144.9541185,,,109210,20-24 Park Drive,,2017,-37.79641804,Residential,918,Parkville,1,109210,,com_clue_offstreet_car_parking_2017.91871,Off Street Parking
91872,144.9473806,,,107979,600-602 Queensberry Street,,2017,-37.80255368,Residential,333,North Melbourne,1,107979,,com_clue_offstreet_car_parking_2017.91872,Off Street Parking
91873,144.9630189,,,105746,183-265 La Trobe Street,,2017,-37.81073331,Commercial,85,Melbourne (CBD),722,105746,,com_clue_offstreet_car_parking_2017.91873,Off Street Parking
91874,144.9718354,,,108990,209-227 Spring Street,,2017,-37.80990475,Private,68,Melbourne (CBD),94,108990,,com_clue_offstreet_car_parking_2017.91874,Off Street Parking
91876,144.9555843,,,107486,85-87 Peel Street,,2017,-37.80619737,Residential,435,West Melbourne (Residential),2,107486,,com_clue_offstreet_car_parking_2017.91876,Off Street Parking
91877,144.9525171,,,105112,16-32 Jeffcott Street,,2017,-37.81132197,Residential,101,West Melbourne (Residential),46,105112,,com_clue_offstreet_car_parking_2017.91877,Off Street Parking
91882,144.9471768,,,108346,151-157 Roden Street,,2017,-37.80866294,Private,427,West Melbourne (Residential),18,108346,,com_clue_offstreet_car_parking_2017.91882,Off Street Parking
91884,144.9540343,,,535384,19 Walsh Street,,2017,-37.80822168,Residential,436,West Melbourne (Residential),1,535384,,com_clue_offstreet_car_parking_2017.91884,Off Street Parking
91888,144.9469158,,,106562,11 Austin Place,,2017,-37.80635784,Residential,406,West Melbourne (Residential),3,106562,,com_clue_offstreet_car_parking_2017.91888,Off Street Parking
91889,144.9548656,,,109221,72 Story Street,,2017,-37.79647012,Residential,918,Parkville,2,109221,,com_clue_offstreet_car_parking_2017.91889,Off Street Parking
91890,144.9674763,,,107560,56 Pelham Street,,2017,-37.80265646,Residential,247,Carlton,2,107560,,com_clue_offstreet_car_parking_2017.91890,Off Street Parking
91891,144.957327,,,103780,96 Fitzgibbon Street,,2017,-37.79377083,Residential,911,Parkville,1,103780,,com_clue_offstreet_car_parking_2017.91891,Off Street Parking
91893,144.9502584,,,578096,715-727 Bourke Street,,2017,-37.81864992,Commercial,1105,Docklands,300,578096,,com_clue_offstreet_car_parking_2017.91893,Off Street Parking
91895,144.9465494,,,103360,42-48 Elm Street,,2017,-37.80353446,Residential,343,North Melbourne,2,103360,,com_clue_offstreet_car_parking_2017.91895,Off Street Parking
91896,144.9450855,,,102905,402 Dryburgh Street,,2017,-37.79591546,Residential,307,North Melbourne,1,102905,,com_clue_offstreet_car_parking_2017.91896,Off Street Parking
91903,144.9455788,,,108414,298-302 Rosslyn Street,,2017,-37.81086961,Private,429,West Melbourne (Residential),2,108414,,com_clue_offstreet_car_parking_2017.91903,Off Street Parking
91904,144.9866371,,,104957,111 Hotham Street,,2017,-37.81461498,Residential,608,East Melbourne,2,104957,,com_clue_offstreet_car_parking_2017.91904,Off Street Parking
91905,144.9477937,,,109014,123-125 Stanley Street,,2017,-37.8093758,Residential,430,West Melbourne (Residential),10,109014,,com_clue_offstreet_car_parking_2017.91905,Off Street Parking
91906,144.9424933,,,108699,60 Shiel Street,,2017,-37.79611207,Residential,318,North Melbourne,1,108699,,com_clue_offstreet_car_parking_2017.91906,Off Street Parking
91907,144.9880523,,,108754,127-135 Simpson Street,,2017,-37.8128406,Residential,610,East Melbourne,11,108754,,com_clue_offstreet_car_parking_2017.91907,Off Street Parking
91908,144.9545124,,,107347,26-30 Park Drive,,2017,-37.79616743,Residential,918,Parkville,10,107347,,com_clue_offstreet_car_parking_2017.91908,Off Street Parking
91910,144.9566149,,,512824,26-30 Morrah Street,,2017,-37.79543975,Residential,914,Parkville,1,512824,,com_clue_offstreet_car_parking_2017.91910,Off Street Parking
91912,144.9485939,,,104711,13-25 Hawke Street,,2017,-37.80609472,Private,420,West Melbourne (Residential),16,104711,,com_clue_offstreet_car_parking_2017.91912,Off Street Parking
91914,144.9452168,,,100237,218A Adderley Street,,2017,-37.80806432,Residential,415,West Melbourne (Residential),1,100237,,com_clue_offstreet_car_parking_2017.91914,Off Street Parking
91915,144.9862894,,,107662,132 Powlett Street,,2017,-37.81248637,Residential,610,East Melbourne,2,107662,,com_clue_offstreet_car_parking_2017.91915,Off Street Parking
91916,144.9626782,,,110366,157-165 City Road,,2017,-37.82425012,Residential,810,Southbank,209,110366,,com_clue_offstreet_car_parking_2017.91916,Off Street Parking
91917,144.98863,,,104238,49 George Street,,2017,-37.8158364,Residential,606,East Melbourne,2,104238,,com_clue_offstreet_car_parking_2017.91917,Off Street Parking
91918,144.9707325,,,603923,32-54 Lonsdale Street,,2017,-37.8091842,Commercial,78,Melbourne (CBD),126,580091,,com_clue_offstreet_car_parking_2017.91918,Off Street Parking
91919,144.9566074,,,103778,67 Fitzgibbon Street,,2017,-37.79466152,Residential,914,Parkville,1,103778,,com_clue_offstreet_car_parking_2017.91919,Off Street Parking
91922,144.9595167,,,110372,43-47 Clarke Street,,2017,-37.82686934,Residential,734,Southbank,269,110372,,com_clue_offstreet_car_parking_2017.91922,Off Street Parking
91923,144.9873086,,,100275,66-68 Airlie Street,,2017,-37.83134491,Residential,857,South Yarra,1,100275,,com_clue_offstreet_car_parking_2017.91923,Off Street Parking
91925,144.9565061,,,109243,24-26 Story Street,,2017,-37.79666582,Residential,917,Parkville,2,109243,,com_clue_offstreet_car_parking_2017.91925,Off Street Parking
91927,144.9438818,,,100220,257 Adderley Street,,2017,-37.80815317,Residential,416,West Melbourne (Residential),1,100220,,com_clue_offstreet_car_parking_2017.91927,Off Street Parking
91929,144.9409507,,,624195,26A Mark Street,,2017,-37.79371364,Residential,2389,North Melbourne,1,624195,,com_clue_offstreet_car_parking_2017.91929,Off Street Parking
91932,144.9523782,,,623557,2 Clarendon Street,,2017,-37.82539976,Commercial,804,Southbank,1696,110484,,com_clue_offstreet_car_parking_2017.91932,Off Street Parking
91934,144.9523782,,,630298,30 Convention Centre Place,,2017,-37.82539976,Private,804,Southbank,121,110484,,com_clue_offstreet_car_parking_2017.91934,Off Street Parking
91938,144.9428526,,,101379,38 Canning Street,,2017,-37.79566342,Residential,306,North Melbourne,1,101379,,com_clue_offstreet_car_parking_2017.91938,Off Street Parking
91940,144.9671858,,,107540,53-75 Pelham Street,,2017,-37.80324285,Residential,252,Carlton,46,107540,,com_clue_offstreet_car_parking_2017.91940,Off Street Parking
91941,144.9548013,,,557199,12 Capel Place,,2017,-37.80416992,Residential,357,North Melbourne,2,557199,,com_clue_offstreet_car_parking_2017.91941,Off Street Parking
