,Lastupdated,Status_Timestamp,Zone_Number,Status_Description,Parkingbay_ID,Latitude,Longitude,Area of Interest
0,2023-07-27T10:44:35+10:00,2023-07-27T06:34:02+10:00,7360,Unoccupied,6283,-37.81377735,144.97,On Street Parking
1,2023-07-27T10:44:35+10:00,2023-07-27T10:41:42+10:00,7356,Unoccupied,6321,-37.81489687,144.97,On Street Parking
2,2023-07-27T10:44:35+10:00,2023-07-27T10:23:51+10:00,7359,Present,6324,-37.81498607,144.97,On Street Parking
3,2023-07-27T10:44:35+10:00,2023-07-27T10:40:07+10:00,7359,Present,6341,-37.81495015,144.97,On Street Parking
4,2023-07-27T10:44:35+10:00,2023-07-27T10:34:09+10:00,7359,Present,6345,-37.81514707,144.97,On Street Parking
5,2023-07-27T10:44:35+10:00,2023-07-27T10:41:14+10:00,7359,Unoccupied,6346,-37.81512809,144.96806221621455,On Street Parking
6,2023-07-27T10:44:35+10:00,2023-07-27T10:16:14+10:00,7361,Present,6334,-37.81518497,144.96731801498848,On Street Parking
7,2023-07-27T10:44:35+10:00,2023-07-27T06:31:26+10:00,7360,Present,6282,-37.81379596,144.97204452226168,On Street Parking
8,2023-07-27T10:44:35+10:00,2023-07-27T06:03:52+10:00,7359,Present,6330,-37.81510367,144.96759554690976,On Street Parking
9,2023-07-27T10:44:35+10:00,2023-07-27T10:33:27+10:00,,Present,6331,-37.81512438,144.96752483183712,On Street Parking
10,2023-07-27T10:44:35+10:00,2023-07-27T02:25:28+10:00,7361,Present,6335,-37.81520478,144.96725036254998,On Street Parking
11,2023-07-27T10:44:35+10:00,2023-07-27T06:54:46+10:00,7579,Unoccupied,6396,-37.81182606,144.97116208822183,On Street Parking
12,2023-07-27T10:44:35+10:00,2023-07-27T06:19:18+10:00,7343,Present,6410,-37.81194238,144.9713170619463,On Street Parking
13,2023-07-27T07:02:36+10:00,2023-07-15T00:40:18+10:00,7567,Unoccupied,5637,-37.81330646,144.9590796940937,On Street Parking
14,2023-08-07T09:06:35+10:00,2023-07-31T13:33:15+10:00,7529,Unoccupied,24544,-37.81364114,144.9691289769056,On Street Parking
15,2023-08-07T09:06:35+10:00,2023-07-31T13:26:19+10:00,7529,Unoccupied,24543,-37.81367851,144.9690010590787,On Street Parking
16,2023-08-07T09:06:35+10:00,2023-08-07T08:56:43+10:00,7536,Unoccupied,24547,-37.81362523,144.9690102149233,On Street Parking
17,2023-08-02T16:16:36+10:00,2023-08-02T10:03:21+10:00,7203,Present,18226,-37.82198424,144.9477843093931,On Street Parking
18,2023-07-20T15:44:36+10:00,2023-07-20T07:24:38+10:00,7358,Unoccupied,7075,-37.81459062,144.96934964923082,On Street Parking
19,2023-07-20T15:44:36+10:00,2023-07-20T15:23:46+10:00,7358,Present,7076,-37.81456889,144.96942427717664,On Street Parking
20,2023-07-20T15:44:36+10:00,2023-07-20T14:46:01+10:00,7358,Unoccupied,7077,-37.81454686,144.9694999303997,On Street Parking
21,2023-07-24T16:44:36+10:00,2023-07-24T16:16:08+10:00,7638,Unoccupied,5852,-37.81320477,144.96828258253169,On Street Parking
22,2023-07-24T16:44:36+10:00,2023-07-24T15:50:20+10:00,7638,Unoccupied,5874,-37.81336122,144.96835416684405,On Street Parking
23,2023-07-24T16:44:36+10:00,2023-07-24T13:45:31+10:00,7674,Present,8149,-37.81421597,144.9687480308728,On Street Parking
24,2023-07-24T16:44:36+10:00,2023-07-24T16:38:36+10:00,7674,Present,8148,-37.81423973,144.96875871007944,On Street Parking
25,2023-07-24T16:44:36+10:00,2023-07-24T16:11:22+10:00,7674,Present,8146,-37.81428853,144.96878064075162,On Street Parking
26,2023-07-24T16:44:36+10:00,2023-07-24T16:18:04+10:00,7674,Present,8139,-37.81450217,144.96887680361226,On Street Parking
27,2023-07-24T16:44:36+10:00,2023-07-24T16:20:01+10:00,7674,Present,8138,-37.81452553,144.96888722038625,On Street Parking
28,2023-07-24T16:44:36+10:00,2023-07-24T16:32:10+10:00,7638,Unoccupied,5866,-37.81360119,144.9684639,On Street Parking
29,2023-08-21T14:44:36+10:00,2023-08-21T14:33:21+10:00,7645,Present,23354,-37.81268824,144.97353028528548,On Street Parking
30,2023-08-21T14:44:36+10:00,2023-08-21T14:41:55+10:00,7276,Unoccupied,23355,-37.81249763,144.97369144100043,On Street Parking
31,2023-08-21T14:44:36+10:00,2023-08-21T11:15:40+10:00,7276,Unoccupied,23357,-37.81260578,144.97374055073328,On Street Parking
32,2023-08-21T14:44:36+10:00,2023-08-21T13:28:34+10:00,7631,Unoccupied,17623,-37.81618811,144.9695346167088,On Street Parking
33,2023-08-21T14:44:36+10:00,2023-08-21T13:07:22+10:00,7631,Present,17627,-37.81654083,144.9696972769852,On Street Parking
34,2023-08-21T14:44:36+10:00,2023-08-21T13:50:50+10:00,7630,Unoccupied,24534,-37.8164346,144.96964834910534,On Street Parking
35,2023-08-21T14:44:36+10:00,2023-08-21T06:45:47+10:00,,Present,17523,-37.81541532,144.9691793379954,On Street Parking
36,2023-08-15T11:44:36+10:00,2023-08-15T11:05:39+10:00,7927,Present,12673,-37.80971659,144.9512896484033,On Street Parking
37,2023-08-15T11:44:36+10:00,2023-08-13T22:14:08+10:00,7053,Present,10282,-37.79499376,144.97209994853773,On Street Parking
38,2023-08-15T11:44:36+10:00,2023-08-15T11:08:35+10:00,7053,Present,10287,-37.79491926,144.97141229186371,On Street Parking
39,2023-08-15T11:44:36+10:00,2023-07-23T17:28:11+10:00,7049,Present,10294,-37.79522904,144.97258333501773,On Street Parking
40,2023-08-23T19:52:36+10:00,2023-08-23T17:43:44+10:00,7638,Unoccupied,5848,-37.8132952,144.9683239299734,On Street Parking
41,2023-08-23T19:52:36+10:00,2023-08-23T12:38:34+10:00,7638,Unoccupied,5870,-37.81348501,144.9684113895476,On Street Parking
42,2023-08-23T19:52:36+10:00,2023-08-23T17:48:40+10:00,7638,Present,5871,-37.81343206,144.96838644867847,On Street Parking
43,2023-08-23T19:52:36+10:00,2023-08-10T09:34:24+10:00,7674,Present,8120,-37.81426488,144.96889419617943,On Street Parking
44,2023-08-23T19:52:36+10:00,2023-08-23T18:26:47+10:00,7674,Present,8136,-37.81457339,144.9689087192393,On Street Parking
45,2023-08-23T19:52:36+10:00,2023-08-23T15:58:00+10:00,7399,Unoccupied,22932,-37.81370951,144.9714016807551,On Street Parking
46,2023-08-23T19:52:36+10:00,2023-08-23T19:10:55+10:00,7399,Unoccupied,22934,-37.81361391,144.9713575687406,On Street Parking
47,2023-08-23T19:52:36+10:00,2023-08-23T18:17:59+10:00,7628,Present,8135,-37.81401087,144.96877776293968,On Street Parking
48,2023-08-23T19:52:36+10:00,2023-08-23T18:06:31+10:00,7674,Present,8133,-37.81411247,144.96882433591503,On Street Parking
49,2023-08-23T19:52:36+10:00,2023-08-23T18:21:55+10:00,7400,Present,22881,-37.81365979,144.9712104418848,On Street Parking
50,2023-08-23T19:52:36+10:00,2023-08-23T19:03:49+10:00,7402,Present,22894,-37.81444883,144.97174636306153,On Street Parking
51,2023-08-23T19:52:36+10:00,2023-08-23T18:34:13+10:00,7674,Present,8127,-37.81425734,144.9686424943515,On Street Parking
52,2023-08-23T19:52:36+10:00,2023-08-23T17:33:28+10:00,7400,Unoccupied,22930,-37.81355836,144.97116325664155,On Street Parking
53,2023-08-23T19:52:36+10:00,2023-08-23T18:31:56+10:00,7334,Present,6418,-37.81217411,144.9699768645677,On Street Parking
54,2023-08-23T19:52:36+10:00,2023-08-23T17:56:45+10:00,7320,Present,6415,-37.81225936,144.96968722093112,On Street Parking
55,2023-08-23T19:52:36+10:00,2023-08-23T18:28:29+10:00,7320,Present,6427,-37.81237892,144.9698324373617,On Street Parking
56,2023-08-23T19:52:36+10:00,2023-08-23T19:12:12+10:00,7401,Present,22936,-37.81462864,144.97165950326007,On Street Parking
57,2023-09-04T10:44:35+10:00,2023-09-04T07:40:21+10:00,,Present,6598,-37.81246043,144.96806467190356,On Street Parking
58,2023-09-04T10:44:35+10:00,2023-07-04T14:57:25+10:00,,Present,23735,-37.81169321,144.96815437037282,On Street Parking
59,2023-09-04T10:44:35+10:00,2023-09-04T02:45:06+10:00,7634,Unoccupied,5499,-37.81142549,144.96746628848203,On Street Parking
60,2023-09-04T10:44:35+10:00,2023-09-04T10:10:05+10:00,7633,Unoccupied,5503,-37.81129717,144.96753326537944,On Street Parking
61,2023-09-04T10:44:35+10:00,2023-09-04T02:33:48+10:00,7634,Unoccupied,5497,-37.81125751,144.96738963174488,On Street Parking
62,2023-09-04T10:44:35+10:00,2023-09-04T03:38:05+10:00,7634,Unoccupied,5494,-37.81118719,144.9673575748426,On Street Parking
63,2023-09-04T10:44:35+10:00,2023-09-04T03:14:07+10:00,7634,Unoccupied,5492,-37.81130687,144.96741221654668,On Street Parking
64,2023-09-04T10:44:35+10:00,2023-09-04T04:07:08+10:00,7634,Unoccupied,5502,-37.81161964,144.96755496911868,On Street Parking
65,2023-09-04T10:44:35+10:00,2023-09-04T02:00:12+10:00,7634,Unoccupied,5488,-37.81140176,144.96745547385362,On Street Parking
66,2023-09-04T10:44:35+10:00,2023-09-04T03:34:18+10:00,7634,Unoccupied,5493,-37.81123421,144.96737901057347,On Street Parking
67,2023-09-04T10:44:35+10:00,2023-09-04T05:57:19+10:00,7625,Present,6592,-37.81231931,144.96775142204228,On Street Parking
68,2023-09-04T10:44:35+10:00,2023-09-01T14:41:47+10:00,7633,Present,5506,-37.81154817,144.96739859838348,On Street Parking
