X,Y,OBJECTID,TFM_ID,TFM_LRS_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,YEAR_SINCE,LAST_YEAR,DATA_SOURC,TIME_CATEG,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS,HF_NUMBER,HLINK_NUMB,HF_ROUTE,HF_ROUTE_D,HF_DESCRIP,HF_SEQUENC,RAMP_TYPE
2498153.115,2409422.024,31,835,36549,JOLIMONT RD N OF WELLINGTON PDE,INTERSECTION,All Moves,WELLINGTON PDE SOUTH/JOLIMONT RD,5125,JOLIMONT ROAD,JOLIMONT ROAD,SCATS,1,2020,Scats,Less than 2 Years,10000,,,2580,3297,272,1,JOLIMONT ROAD S BD BTWN WELLINGTON PARADE & WELLINGTON PARADE SOUTH,1,ROAD
2495537.312,2410068.424,51,43379,82999,DUDLEY ST SW OF SPENCER ST,INTERSECTION,All Moves,SPENCER ST/DUDLEY ST,5040,DUDLEY STREET,DUDLEY STREET,SCATS,1,2020,Scats,Less than 2 Years,18000,,,1371,2938,251,0,DUDLEY ST E BD BTWN ADDERLEY ST & SPENCER ST,2,ROAD
2495764.438,2410619.386,72,54460,144855,VICTORIA ST W OF CHETWYND ST,INTERSECTION,All Moves,VICTORIA ST/CHETWYND ST,9999,Missing Data,VICTORIA STREET,SCATS,1,2020,Scats,Less than 2 Years,7600,,,6539,111,1234,0,VICTORIA STREET E Bd btwn ERROL STREET & CHETWYND STREET,3,ROAD
2495618.097,2409241.377,143,13842,37224,WURUNDJERI WAY N OF BOURKE ST,INTERSECTION,All Moves,BOURKE ST/WURUNDJERI WAY,2120,DOCKLANDS HIGHWAY,WURUNDJERI WAY,SCATS,1,2020,Scats,Less than 2 Years,24000,,,14435,886,3,0,WURUNDJERI WAY S BD BTWN DUDLEY ST & BOURKE ST,16.1,ROAD
2497642.009,2410364.904,242,23,36891,NICHOLSON ST N OF VICTORIA PDE,INTERSECTION,All Moves,VICTORIA PDE/NICHOLSON ST,5736,NICHOLSON STREET,NICHOLSON STREET,SCATS,1,2020,Scats,Less than 2 Years,8500,,,3870,5001,376,1,NICHOLSON STREET S Bd btwn GERTRUDE STREET & VICTORIA PARADE,12,ROAD
2496433.983,2410523.26,1262,786,41553,ELIZABETH ST SE OF QUEENSBERRY ST,INTERSECTION,Left Missing,ELIZABETH ST/QUEENSBERRY ST,5082,VICTORIA STREET,VICTORIA STREET,SCATS,1,2020,Scats,Less than 2 Years,11000,,,9035,2977,876,0,ELIZABETH ST N BD BTWN VICTORIA ST & QUEENSBERRY ST,1,ROAD
2497860.661,2410198.858,3471,5189,45931,GISBORNE ST N OF ALBERT ST,INTERSECTION,All Moves,ALBERT ST/GISBORNE ST,9999,Missing Data,GISBORNE STREET,SCATS,1,2020,Scats,Less than 2 Years,5700,,,6673,7883,1248,1,GISBORNE STREET S Bd btwn VICTORIA PARADE & ALBERT STREET,1,ROAD
2497970.315,2408639.978,3734,18808,45304,SWAN ST BRIDGE E BD E OF ALEXANDRA AV,INTERSECTION,All Moves,SWAN ST BRIDGE E OF ALEXANDRA AV,2240,YARRA BANK HIGHWAY,OLYMPIC BOULEVARD,MOTSV,3,2018,Manual,Between 2 and 5 Years,21000,1000,0.05,616,4675,5,0,SWAN ST E BD BTWN ALEXANDRA AVE & BATMAN AVE TOLLWAY,8,ROAD
2497627.673,2410255.405,4355,5316,50423,NICHOLSON ST N BD S OF VICTORIA PDE,INTERSECTION,All Moves,NICHOLSON ST S OF VICTORIA PDE,9999,Missing Data,NICHOLSON STREET,MOTSV,3,2018,Manual,Between 2 and 5 Years,7800,140,0.02,13529,8435,1658,0,NICHOLSON STREET N Bd btwn ALBERT STREET & VICTORIA PARADE,5,ROAD
2496077.454,2408791.925,4517,4685,50429,SPENCER ST NW BD SE OF SIDDELY ST,INTERSECTION,All Moves,SPENCER ST NSE OF SIDDELY ST,5061,SPENCER STREET,SPENCER STREET,MOTSV,3,2018,Manual,Between 2 and 5 Years,14000,340,0.02,9616,3076,464,0,SPENCER STREET N Bd btwn CLARENDON STREET & FLINDERS STREET,1,ROAD
2497236.862,2409000.261,5432,6282,53868,SWANSTON ST NW BD SE OF FLINDERS ST,INTERSECTION,All Moves,SWANSTON ST SE OF FLINDERS ST,9999,Missing Data,ST KILDA ROAD,MOTSV,3,2018,Manual,Between 2 and 5 Years,11000,210,0.02,15705,2675,1208,0,ST KILDA ROAD N Bd btwn & FLINDERS STREET,2,ROAD
2496994.69,2410337.398,5527,6262,56311,RUSSELL ST NW BD NW OF LATROBE ST,INTERSECTION,All Moves,RUSSELL ST NNW OF LATROBE ST,9999,Missing Data,RUSSELL STREET,MOTSV,3,2018,Manual,Between 2 and 5 Years,8900,290,0.03,13155,8667,1562,0,RUSSELL STREET N Bd btwn LATROBE STREET & VICTORIA STREET,5,ROAD
2496870.136,2409434.461,5685,26485,58821,COLLINS ST NE OF ELIZABETH ST,INTERSECTION,All Moves,ELIZABETH ST/COLLINS ST,9999,Missing Data,COLLINS STREET,SCATS,1,2020,Scats,Less than 2 Years,8100,,,15864,2471,1248,1,COLLINS STREET W Bd btwn RUSSELL STREET & ELIZABETH STREET,6.25,ROAD
2496472.584,2410418.252,5760,5701,56313,ELIZABETH ST NW BD NW OF FRANKLIN ST,INTERSECTION,All Moves,ELIZABETH ST NNW OF FRANKLIN ST,9999,Missing Data,ELIZABETH STREET,MOTSV,3,2018,Manual,Between 2 and 5 Years,6800,140,0.02,13588,7752,683,0,ELIZABETH STREET N Bd btwn FRANKLIN STREET & VICTORIA STREET,3,ROAD
2495404.595,2410690.644,6267,6369,54829,CURZON ST N OF VICTORIA ST,INTERSECTION,All Moves,VICTORIA ST/KING ST/CURZON ST,5027,CURZON STREET,CURZON STREET,SCATS,1,2020,Scats,Less than 2 Years,7700,,,1362,2890,871,1,CURZON ST S BD BTWN QUEENSBERRY ST & KING ST,3,ROAD
2496151.731,2409420.883,8600,24806,58366,BOURKE ST NE OF KING ST,INTERSECTION,All Moves,KING ST/BOURKE ST,9999,Missing Data,BOURKE STREET,SCATS,1,2020,Scats,Less than 2 Years,4600,,,12365,7406,1077,1,BOURKE STREET W Bd btwn WILLIAM STREET & KING STREET,3,ROAD
2496994.69,2410337.398,8872,25958,62967,RUSSELL ST SE BD NW OF LATROBE ST,INTERSECTION,All Moves,RUSSELL ST NNW OF LATROBE ST,9999,Missing Data,RUSSELL STREET,MOTSV,3,2018,Manual,Between 2 and 5 Years,11000,280,0.03,6475,8667,1562,1,RUSSELL STREET S Bd btwn VICTORIA STREET & LATROBE STREET,1,ROAD
2495664.56,2410422.889,9101,11650,62963,KING ST NW BD NW OF ROSSLYN ST,INTERSECTION,All Moves,KING ST NNW OF ROSSLYN ST,5041,KING STREET,KING STREET,MOTSV,3,2018,Manual,Between 2 and 5 Years,17000,,,8625,2942,875,0,KING STREET NWBd btwn DUDLEY STREET & HAWKE STREET,6,ROAD
2496114.136,2410424.666,9521,27839,62965,PEEL ST S BD N OF DUDLEY ST,INTERSECTION,All Moves,PEEL ST N OF DUDLEY ST,5065,PEEL STREET,PEEL STREET,MOTSV,3,2018,Manual,Between 2 and 5 Years,16000,,,1792,3091,465,1,PEEL STREET S Bd btwn VICTORIA STREET & DUDLEY STREET,4,ROAD
2497667.317,2410361.531,11130,30735,68034,VICTORIA PDE E OF NICHOLSON ST,INTERSECTION,Left Missing,VICTORIA PDE/NICHOLSON ST,5083,VICTORIA PARADE,VICTORIA PARADE,SCATS,1,2020,Scats,Less than 2 Years,21000,,,9074,3149,262,1,VICTORIA PDE W BD BTWN GISBORNE ST & NICHOLSON ST,7,ROAD
2495478.623,2410610.322,11917,30252,69507,HAWKE ST NE OF SPENCER ST,INTERSECTION,All Moves,SPENCER ST/HAWKE ST,5041,KING STREET,KING STREET,SCATS,1,2020,Scats,Less than 2 Years,7800,,,5769,8002,1234,1,HAWKE STREET SWBd btwn KING STREET & SPENCER STREET,4,ROAD
2497250.812,2410368.551,12072,34453,69434,EXHIBITION ST S BD S OF VICTORIA ST,INTERSECTION,All Moves,EXHIBITION ST S OF VICTORIA ST,9999,Missing Data,EXHIBITION STREET ALT,MOTSV,3,2018,Manual,Between 2 and 5 Years,10000,350,0.03,6312,7791,814,0,EXHIBITION STREET S Bd btwn VICTORIA STREET & EXHIBITION STREET,5,ROAD
2495664.56,2410422.889,12419,33491,69232,KING ST SE BD NW OF ROSSLYN ST,INTERSECTION,All Moves,KING ST NNW OF ROSSLYN ST,5041,KING STREET,KING STREET,MOTSV,3,2018,Manual,Between 2 and 5 Years,15000,,,1749,2942,875,1,KING STREET SEBd btwn HAWKE STREET & DUDLEY STREET,2,ROAD
2498112.109,2410278.879,13444,34121,67011,VICTORIA PDE E OF LANSDOWNE ST,INTERSECTION,All Moves,VICTORIA PDE/LANSDOWNE ST,5102,LANSDOWNE STREET,LANSDOWNE STREET,SCATS,1,2020,Scats,Less than 2 Years,17000,,,9073,3152,262,1,VICTORIA PDE W BD BTWN SMITH ST & LANSDOWNE ST,4,ROAD
2496312.936,2408753.322,13977,30154,65825,KINGS WAY N BD S OF FLINDERS ST (ON BRIDGE),INTERSECTION,All Moves,KINGS WAY S OF FLINDERS ST (ON BRIDGE),2510,PRINCES HIGHWAY EAST,KINGS WAY,MOTSV,3,2018,Manual,Between 2 and 5 Years,27000,,,15125,1897,1265,1,KINGS WAY N BD BTWN OFFFRAMP TO CROWN & KING ST,72,ROAD
2497409.341,2410385.291,15083,44576,82941,LATROBE ST SW OF VICTORIA ST,INTERSECTION,All Moves,VICTORIA ST/VICTORIA PDE/LA TROBE ST/SPRING ST,9999,Missing Data,LA TROBE STREET,SCATS,2,2019,Scats,Between 2 and 5 Years,,,,5810,8183,1442,0,LATROBE STREET E Bd btwn EXHIBITION STREET & VICTORIA STREET,11,ROAD
2498031.921,2410578.815,15219,45355,82351,GERTRUDE ST E OF BRUNSWICK ST,INTERSECTION,All Moves,BRUNSWICK ST/GERTRUDE ST,9999,Missing Data,GERTRUDE STREET,SCATS,1,2020,Scats,Less than 2 Years,6300,,,13995,7869,1521,1,GERTRUDE STREET W Bd btwn LANGRIDGE STREET & BRUNSWICK STREET,1,ROAD
2496110.997,2409378.086,15282,36128,74903,KING ST SE OF BOURKE ST,INTERSECTION,All Moves,KING ST/BOURKE ST,5041,KING STREET,KING STREET,SCATS,2,2019,Scats,Between 2 and 5 Years,27000,,,9591,2946,875,0,KING STREET N Bd btwn COLLINS STREET & BOURKE STREET,2,ROAD
2496034.717,2408876.156,15313,42666,75335,FLINDERS ST SW OF SPENCER ST,INTERSECTION,All Moves,SPENCER ST/FLINDERS ST,9999,Missing Data,FLINDERS STREET,SCATS,1,2020,Scats,Less than 2 Years,12000,,,5725,7817,1439,0,FLINDERS STREET E Bd btwn WURUNDJERI WAY & SPENCER STREET,1,ROAD
2495823.18,2410159.151,15340,36127,78556,KING ST SE OF DUDLEY ST,INTERSECTION,All Moves,KING ST/DUDLEY ST,5041,KING STREET,KING STREET,SCATS,1,2020,Scats,Less than 2 Years,20000,,,9593,2943,875,0,KING STREET N Bd btwn LATROBE STREET & DUDLEY STREET,5,ROAD
2496753.584,2408625.804,15483,41922,74626,CITY RD NE OF POWER ST,INTERSECTION,All Moves,CITY RD/POWER ST,2240,YARRA BANK HIGHWAY,CITY ROAD,SCATS,1,2020,Scats,Less than 2 Years,,,,7769,4647,5,1,CITY RD SW BD BTWN SOUTHBANK BVD & POWER ST,5,ROAD
2496545.386,2409541.25,15519,41503,74793,QUEEN ST S OF BOURKE ST,INTERSECTION,All Moves,QUEEN ST/BOURKE ST,9999,Missing Data,QUEEN STREET,SCATS,1,2020,Scats,Less than 2 Years,8300,,,14707,8580,726,0,QUEEN STREET N Bd btwn COLLINS STREET & BOURKE STREET,2,ROAD
2495697.411,2410145.337,15571,21697,82897,DUDLEY ST NE OF SPENCER ST,INTERSECTION,All Moves,SPENCER ST/DUDLEY ST,5040,DUDLEY STREET,DUDLEY STREET,SCATS,1,2020,Scats,Less than 2 Years,14000,,,8623,2939,251,1,DUDLEY ST W BD BTWN KING ST & SPENCER ST,2,ROAD
2497029.846,2410443.007,16018,34125,66704,VICTORIA ST E OF LYGON ST,INTERSECTION,All Moves,VICTORIA ST/LYGON ST/RUSSELL ST,5082,VICTORIA STREET,VICTORIA STREET,SCATS,1,2020,Scats,Less than 2 Years,20000,,,9068,3144,470,1,VICTORIA ST W BD BTWN EXHIBITION ST (WEST) & LYGON ST,4,ROAD
2496452.201,2410520.806,16181,31965,66666,VICTORIA ST E OF ELIZABETH ST,INTERSECTION,All Moves,ELIZABETH ST/VICTORIA ST,5082,VICTORIA STREET,VICTORIA STREET,SCATS,1,2020,Scats,Less than 2 Years,20000,,,9071,3139,470,1,VICTORIA ST W BD BTWN BOUVERIE ST & ELIZABETH ST,9,ROAD
2498211.746,2409471.928,16204,34190,68604,WELLINGTON PDE E OF JOLIMONT ST,INTERSECTION,All Moves,WELLINGTON PDE/JOLIMONT RD,5103,WELLINGTON PARADE,WELLINGTON PARADE,SCATS,1,2020,Scats,Less than 2 Years,10000,,,9285,3214,475,1,WELLINGTON PARADE W Bd btwn CLARENDON STREET & JOLIMONT ROAD,3,ROAD
2498173.876,2409391.807,16456,41717,74585,WELLINGTON PDE E OF JOLIMONT RD,INTERSECTION,All Moves,WELLINGTON PDE SOUTH/JOLIMONT RD,9999,Missing Data,WELLINGTON PARADE,SCATS,3,2018,Scats,Between 2 and 5 Years,1700,,,14417,138,746,1,WELLINGTON PARADE W Bd btwn CLARENDON STREET & JOLIMONT ROAD,1,ROAD
2497640.134,2410193.325,16462,41715,74791,ALBERT ST E OF NICHOLSON ST,INTERSECTION,All Moves,ALBERT ST/NICHOLSON ST/LONSDALE ST,9999,Missing Data,ALBERT STREET,SCATS,1,2020,Scats,Less than 2 Years,10000,,,12925,7207,1418,1,ALBERT STREET W Bd btwn GISBORNE STREET & LONSDALE STREET,5,ROAD
2495418.836,2410654.796,16596,38283,76039,KING ST SE OF CURZON ST,INTERSECTION,Left Missing,VICTORIA ST/KING ST/CURZON ST,5041,KING STREET,KING STREET,SCATS,1,2020,Scats,Less than 2 Years,17000,,,9230,2941,875,0,KING STREET NWBd btwn HAWKE STREET & CURZON STREET,7,ROAD
2497636.268,2410321.506,17077,38008,79787,VICTORIA PDE E OF SPRING ST,INTERSECTION,Left Missing,VICTORIA ST/VICTORIA PDE/LA TROBE ST/SPRING ST,5083,VICTORIA PARADE,VICTORIA PARADE,SCATS,1,2020,Scats,Less than 2 Years,,,,9066,3147,470,1,VICTORIA ST W BD BTWN NICHOLSON ST & LATROBE ST,1,ROAD
2496074.022,2408890.346,17274,44172,83085,FLINDERS ST NE OF SPENCER ST,INTERSECTION,All Moves,SPENCER ST/FLINDERS ST,9999,Missing Data,FLINDERS STREET,SCATS,1,2020,Scats,Less than 2 Years,9700,,,13984,7818,1439,1,FLINDERS STREET W Bd btwn DOWNIE STREET & SPENCER STREET,11,ROAD
2495730.484,2409741.951,17569,38009,74923,SPENCER ST SE OF LATROBE ST,INTERSECTION,All Moves,SPENCER ST/LA TROBE ST,5061,SPENCER STREET,SPENCER STREET,SCATS,1,2020,Scats,Less than 2 Years,,,,8667,3071,464,0,SPENCER STREET N Bd btwn LONSDALE STREET & LATROBE STREET,5,ROAD
2495468.644,2410598.483,17661,43388,83254,HAWKE ST SW OF KING ST,INTERSECTION,All Moves,KING ST/HAWKE ST,9999,Missing Data,HAWKE STREET,SCATS,1,2020,Scats,Less than 2 Years,7600,,,13021,8002,1234,0,HAWKE STREET NEBd btwn SPENCER STREET & KING STREET,1,ROAD
2495457.599,2410625.961,17665,47483,83361,KING ST NW OF HAWKE ST,INTERSECTION,All Moves,KING ST/HAWKE ST,5041,KING STREET,KING STREET,SCATS,1,2020,Scats,Less than 2 Years,13000,,,2272,2941,875,1,KING STREET SEBd btwn CURZON STREET & HAWKE STREET,1,ROAD
2497313.327,2410092.622,18017,42626,78965,LONSDALE ST SW OF EXHIBITION ST,INTERSECTION,All Moves,EXHIBITION ST/LONSDALE ST,9999,Missing Data,LONSDALE STREET,SCATS,1,2020,Scats,Less than 2 Years,13000,,,6401,8219,1418,0,LONSDALE STREET E Bd btwn RUSSELL STREET & EXHIBITION STREET,6,ROAD
2496138.292,2410588.235,18041,21537,82479,PEEL ST N OF VICTORIA ST,INTERSECTION,All Moves,VICTORIA PDE/PEEL ST,5065,PEEL STREET,PEEL STREET,SCATS,1,2020,Scats,Less than 2 Years,10000,,,1791,3090,465,1,PEEL STREET S Bd btwn QUEENSBERRY STREET & VICTORIA STREET,3,ROAD
2495610.209,2410062.508,18186,38007,75052,SPENCER ST SE OF DUDLEY ST,INTERSECTION,All Moves,SPENCER ST/DUDLEY ST,5061,SPENCER STREET,SPENCER STREET,SCATS,1,2020,Scats,Less than 2 Years,10000,,,9250,3070,464,0,SPENCER STREET N Bd btwn LATROBE STREET & DUDLEY STREET,6,ROAD
2497679.963,2410647.205,18685,19495,82319,NICHOLSON ST N OF GERTRUDE ST,INTERSECTION,All Moves,NICHOLSON ST/GERTRUDE ST,5736,NICHOLSON STREET,NICHOLSON STREET,SCATS,1,2020,Scats,Less than 2 Years,8400,,,3869,5000,376,1,NICHOLSON STREET S Bd btwn JOHNSTON STREET & GERTRUDE STREET,11,ROAD
2497674.153,2410603.991,18805,41308,74255,NICHOLSON ST S OF GERTRUDE ST,INTERSECTION,All Moves,NICHOLSON ST/GERTRUDE ST,5736,NICHOLSON STREET,NICHOLSON STREET,SCATS,1,2020,Scats,Less than 2 Years,10000,,,10223,5001,376,0,NICHOLSON STREET N Bd btwn VICTORIA PARADE & GERTRUDE STREET,1,ROAD
2495716.482,2409779.719,18960,47947,82903,SPENCER ST NW OF LATROBE ST,INTERSECTION,All Moves,SPENCER ST/LA TROBE ST,5061,SPENCER STREET,SPENCER STREET,SCATS,1,2020,Scats,Less than 2 Years,,,,1973,3070,464,1,SPENCER STREET S Bd btwn DUDLEY STREET & LATROBE STREET,4,ROAD
2496075.751,2409393.661,19015,43824,83121,BOURKE ST SW OF KING ST,INTERSECTION,All Moves,KING ST/BOURKE ST,9999,Missing Data,BOURKE STREET,SCATS,1,2020,Scats,Less than 2 Years,2500,,,5488,7405,1077,0,BOURKE STREET E Bd btwn SPENCER STREET & KING STREET,1,ROAD
2495376.92,2410671.191,19540,53806,96872,VICTORIA ST W OF CURZON ST,INTERSECTION,All Moves,VICTORIA ST/KING ST/CURZON ST,5082,VICTORIA STREET,VICTORIA STREET,SCATS,1,2020,Scats,Less than 2 Years,6400,,,1406,3136,53,0,VICTORIA ST E BD BTWN ABBOTSFORD ST & CURZON ST,2,ROAD
2496250.887,2408995.142,19616,24029,99687,KING ST N OF FLINDERS ST,INTERSECTION,All Moves,KING ST/FLINDERS ST,5041,KING STREET,KING STREET,SCATS,1,2020,Scats,Less than 2 Years,22000,,,2273,2947,875,1,KING STREET S Bd btwn COLLINS STREET & FLINDERS ST,7,ROAD
2497619.96,2410196.096,20190,46272,82734,LONSDALE ST W OF NICHOLSON ST,INTERSECTION,All Moves,ALBERT ST/NICHOLSON ST/LONSDALE ST,9999,Missing Data,LONSDALE STREET,SCATS,2,2019,Scats,Between 2 and 5 Years,,,,6779,8220,1418,0,LONSDALE STREET E Bd btwn EXHIBITION STREET & ALBERT STREET,7,ROAD
2498008.318,2409514.162,20553,19207,74441,LANSDOWNE_ST N of WELLINGTON_PDE,INTERSECTION,All Moves,WELLINGTON PDE/LANSDOWNE ST,5102,LANSDOWNE STREET,LANSDOWNE STREET,SCATS,2,2019,Scats,Between 2 and 5 Years,7100,,,1822,3212,58,1,LANSDOWNE STREET S Bd btwn ALBERT STREET & WELLINGTON PARADE,2,ROAD
2497662.363,2409316.481,20745,36466,77703,BATMAN AV SE OF FLINDERS ST,INTERSECTION,All Moves,EXHIBITION ST/FLINDERS ST/BATMAN AV,2997,BATMAN AVENUE TOLLWAY,BATMAN AVENUE,SCATS,1,2020,Scats,Less than 2 Years,9700,,,8089,4686,422,1,BATMAN AVE TOLLWAY NW BD BTWN TENNIS CENTRE ACCESS ROAD & EXHIBITION ST,3,ROAD
2495791.142,2410225.96,21373,46131,86769,KING ST NW OF DUDLEY ST,INTERSECTION,All Moves,KING ST/DUDLEY ST,5041,KING STREET,KING STREET,SCATS,1,2020,Scats,Less than 2 Years,16000,,,1749,2942,875,1,KING STREET SEBd btwn HAWKE STREET & DUDLEY STREET,2,ROAD
2495895.424,2409290.339,21779,53924,96949,SPENCER ST SE OF BOURKE ST,INTERSECTION,All Moves,SPENCER ST/BOURKE ST,5061,SPENCER STREET,SPENCER STREET,SCATS,1,2020,Scats,Less than 2 Years,10000,,,9054,3074,464,0,SPENCER STREET N Bd btwn COLLINS STREET & BOURKE STREET,3,ROAD
2497636.268,2410321.506,21805,54562,96505,NICHOLSON ST S OF VICTORIA PDE,INTERSECTION,All Moves,VICTORIA PDE/NICHOLSON ST,9999,Missing Data,NICHOLSON STREET,SCATS,1,2020,Scats,Less than 2 Years,7100,,,13529,8435,1658,0,NICHOLSON STREET N Bd btwn ALBERT STREET & VICTORIA PARADE,5,ROAD
2497188.066,2409134.407,21971,48529,88763,SWANSTON ST NW OF CONCERT HALL,INTERSECTION,All Moves,ST KILDA RD NR CONCERT HALL,9999,Missing Data,ST KILDA ROAD,SCATS,2,2019,Scats,Between 2 and 5 Years,11000,,,15332,2675,1208,1,ST KILDA ROAD S Bd btwn FLINDERS STREET &,1.5,ROAD
2497319.604,2410121.053,22474,49383,100614,EXHIBITION ST NW OF LONSDALE ST,INTERSECTION,All Moves,EXHIBITION ST/LONSDALE ST,9999,Missing Data,EXHIBITION STREET,SCATS,1,2020,Scats,Less than 2 Years,11000,,,6129,7792,1517,1,EXHIBITION STREET S Bd btwn LATROBE STREET & LONSDALE STREET,1,ROAD
2495865.435,2409372.45,22596,56129,96947,SPENCER ST NW OF BOURKE ST,INTERSECTION,All Moves,SPENCER ST/BOURKE ST,5061,SPENCER STREET,SPENCER STREET,SCATS,1,2020,Scats,Less than 2 Years,10000,,,1391,3072,464,1,SPENCER STREET S Bd btwn LONSDALE STREET & BOURKE STREET,6,ROAD
2496754.145,2410480.14,22886,43596,88019,VICTORIA PDE E OF SWANSTON ST,INTERSECTION,All Moves,VICTORIA ST/SWANSTON ST,5082,VICTORIA STREET,VICTORIA STREET,SCATS,1,2020,Scats,Less than 2 Years,24000,,,8684,3142,470,1,VICTORIA ST W BD BTWN CARDIGAN ST & SWANSTON ST (EAST),6,ROAD
2497921.829,2410593.098,23490,58089,103918,GERTRUDE ST W OF BRUNSWICK ST,INTERSECTION,All Moves,BRUNSWICK ST/GERTRUDE ST,9999,Missing Data,GERTRUDE STREET,SCATS,1,2020,Scats,Less than 2 Years,6500,,,6148,7867,1521,0,GERTRUDE STREET E Bd btwn NICHOLSON STREET & BRUNSWICK STREET,1,ROAD
2495942.728,2409837.911,23506,57350,103575,KING ST NW OF LA TROBE ST,INTERSECTION,All Moves,KING ST/LA TROBE ST,5041,KING STREET,KING STREET,SCATS,1,2020,Scats,Less than 2 Years,,,,1750,2943,875,1,KING STREET S Bd btwn DUDLEY STREET & LATROBE STREET,3,ROAD
2497853.162,2410142.315,24676,49703,96394,GISBORNE ST S OF ALBERT ST,INTERSECTION,All Moves,ALBERT ST/GISBORNE ST,9999,Missing Data,GISBORNE STREET,SCATS,1,2020,Scats,Less than 2 Years,4900,,,13998,7886,1248,0,GISBORNE STREET N Bd btwn CATHEDRAL PLACE & ALBERT STREET,8,ROAD
2497907.69,2409019.128,24814,56254,100381,TOLLPOINT8A BATMAN AVE S BD BTW FLINDERS ST & SWAN ST,MIDBLOCK,All Moves,TOLLZONE8B BATMAN AVE BTW FLINDERS ST & SWAN ST,2997,BATMAN AVENUE TOLLWAY,BATMAN AVENUE,CTLFT,2,2019,Telemetry,Between 2 and 5 Years,10000,730,0.07,16022,2321,422,0,BATMAN AVENUE TOLLWAY SE BD BTWN TENNIS CENTRE ACCESS ROAD & SWAN STREET,2,ROAD
2495859.447,2410215.347,24866,23591,100416,DUDLEY ST NE OF KING ST,INTERSECTION,All Moves,KING ST/DUDLEY ST,5040,DUDLEY STREET,DUDLEY STREET,SCATS,1,2020,Scats,Less than 2 Years,12000,,,9589,2940,251,1,DUDLEY ST W BD BTWN PEEL ST & KING ST,1,ROAD
2495386.51,2410040.102,26442,52833,96323,SPENCER ST SEB BTW ROSSLYN ST & STANLEY ST,MIDBLOCK,All Moves,SPENCER ST NBTW ROSSLYN ST & STANLEY ST,9999,Missing Data,ADDERLEY STREET,APARX,3,2018,Classification,Between 2 and 5 Years,15000,800,0.05,1787,3069,464,1,SPENCER STREET SEBd btwn HAWKE STREET & DUDLEY STREET,3,ROAD
2497965.199,2409506.223,26569,49877,95703,WELLINGTON_PDE W of LANSDOWNE_ST,INTERSECTION,All Moves,WELLINGTON PDE/LANSDOWNE ST,9999,Missing Data,WELLINGTON PARADE,SCATS,1,2020,Scats,Less than 2 Years,10000,,,7132,139,1439,0,WELLINGTON PARADE E Bd btwn FLINDERS STREET & LANSDOWNE STREET,12,ROAD
2498100.861,2410195.983,26701,24757,101177,LANDSDOWNE ST S BD BTWN VICTORIA PDE & ALBERT ST,MIDBLOCK,All Moves,LANDSDOWNE ST BTWN VICTORIA PDE & ALBERT ST,5102,LANSDOWNE STREET,LANSDOWNE STREET,APARX,3,2018,Classification,Between 2 and 5 Years,5600,250,0.04,1821,3211,58,1,LANSDOWNE STREET S Bd btwn VICTORIA PARADE & ALBERT STREET,1,ROAD
2498106.639,2408637.165,27134,54131,95801,BATMAN AV NW OF SWAN ST,INTERSECTION,All Moves,OLYMPIC BVD/BATMAN AV,2997,BATMAN AVENUE TOLLWAY,BATMAN AVENUE,SCATS,1,2020,Scats,Less than 2 Years,10000,,,16022,2321,422,0,BATMAN AVENUE TOLLWAY SE BD BTWN TENNIS CENTRE ACCESS ROAD & SWAN STREET,2,ROAD
2497582.337,2409450.49,27521,23927,96065,FLINDERS ST NE OF EXHIBITION ST,INTERSECTION,All Moves,EXHIBITION ST/FLINDERS ST/BATMAN AV,9999,Missing Data,FLINDERS STREET,SCATS,1,2020,Scats,Less than 2 Years,8500,,,13986,7827,1439,1,FLINDERS STREET W Bd btwn WELLINGTON PARADE & BATMAN AVENUE FREEWAY,3,ROAD
2497562.646,2409460.687,27522,50128,96127,EXHIBITION ST NW OF FLINDERS ST,INTERSECTION,All Moves,EXHIBITION ST/FLINDERS ST/BATMAN AV,9999,Missing Data,EXHIBITION STREET,SCATS,1,2020,Scats,Less than 2 Years,11000,,,6313,7795,1517,1,EXHIBITION STREET S Bd btwn COLLINS STREET & BATMAN AVENUE FREEWAY,4,ROAD
